moisture	avg	smoch	horni	spodni	time
0.554943645	0.542652248	0.007301172	0.54995342	0.535351076	12.29404053
0.554819325	0.542567249	0.007276318	0.549843567	0.53529093	12.3314471
0.554190659	0.542026766	0.007808285	0.549835051	0.534218481	12.36874995
0.553396266	0.543517043	0.006941857	0.5504589	0.536575186	12.40606315
0.553368695	0.541432324	0.007690264	0.549122588	0.53374206	12.44337687
0.553472311	0.542783531	0.006936081	0.549719612	0.535847449	12.48065892
0.553223572	0.541246971	0.007390525	0.548637496	0.533856446	12.51785388
0.553382431	0.539301211	0.008388977	0.547690189	0.530912234	12.55514628
0.553451508	0.538861082	0.008232405	0.547093487	0.530628677	12.59247275
0.553748622	0.540945801	0.007204487	0.548150288	0.533741314	12.629808
0.553458476	0.540081117	0.007746846	0.547827964	0.532334271	12.66709558
0.553154494	0.541108012	0.007448609	0.548556621	0.533659403	12.70437728
0.552726193	0.540366712	0.007710939	0.548077651	0.532655773	12.74165622
0.552325563	0.540420783	0.007671286	0.548092068	0.532749497	12.77899647
0.553396266	0.538760729	0.008190414	0.546951143	0.530570315	12.8162941
0.553589663	0.539061899	0.008328448	0.547390348	0.530733451	12.85363022
0.552532796	0.53837467	0.008043552	0.546418221	0.530331118	12.89094685
0.552249617	0.538976899	0.008046377	0.547023277	0.530930522	12.92825205
0.552726193	0.539386211	0.007734506	0.547120717	0.531651705	12.96555552
0.553113088	0.539262605	0.008075466	0.547338071	0.53118714	13.00284362
0.552463718	0.539640988	0.007452991	0.547093979	0.532187997	13.04019522
0.551579544	0.537610228	0.00837892	0.545989149	0.529231308	13.07753248
0.55153117	0.537610228	0.00844108	0.546051308	0.529169148	13.11488965
0.551918065	0.538953758	0.008222394	0.547176153	0.530731364	13.15220613
0.550902604	0.539293535	0.007979213	0.547272748	0.531314322	13.18952473
0.551151243	0.540196935	0.007458095	0.54765503	0.53273884	13.22688077
0.550557216	0.538830264	0.007737879	0.546568143	0.531092385	13.26413583
0.552028549	0.54018147	0.006968292	0.547149762	0.533213178	13.30140187
0.551524302	0.541316506	0.006663775	0.547980281	0.534652732	13.33874508
0.551828184	0.541771989	0.006638123	0.548410112	0.535133866	13.37598205
0.551959471	0.54122383	0.006726731	0.547950561	0.534497099	13.41326675
0.551579544	0.5405366	0.006785353	0.547321953	0.533751248	13.45059357
0.551607215	0.539725876	0.007085216	0.546811092	0.532640661	13.48787113
0.551020056	0.539216323	0.007266888	0.546483211	0.531949435	13.52524027
0.552498257	0.539540635	0.007273245	0.54681388	0.53226739	13.56260403
0.551538138	0.540559742	0.006334391	0.546894133	0.53422535	13.59990682
0.551579544	0.539803088	0.007047429	0.546850517	0.532755659	13.6372177
0.551185782	0.539540635	0.007353767	0.546894402	0.532186867	13.67474215
0.550412093	0.540590671	0.006644032	0.547234702	0.533946639	13.71206387
0.550225663	0.539764482	0.006935666	0.546700148	0.532828816	13.74934408
0.549562458	0.540714165	0.006858708	0.547572873	0.533855457	13.78758083
0.551413718	0.538814799	0.007664333	0.546479132	0.531150466	13.82487548
0.550087508	0.539085041	0.007450342	0.546535382	0.531634699	13.86215968
0.549583161	0.538976899	0.007378544	0.546355444	0.531598355	13.8994903
0.55026707	0.538351528	0.007155389	0.545506917	0.531196139	13.936756
0.549866439	0.538328387	0.007160455	0.545488842	0.531167932	13.97407693
0.549210202	0.537942328	0.007327621	0.545269949	0.530614707	14.01130623
0.551558841	0.53883794	0.007406718	0.546244659	0.531431222	14.04864182
0.55001843	0.538583164	0.0076619	0.546245064	0.530921264	14.08594305
0.548823307	0.538158499	0.007866368	0.546024867	0.530292131	14.12326165
0.549638404	0.537594875	0.008115484	0.545710359	0.529479391	14.16054247
0.549762823	0.536845898	0.007862547	0.544708445	0.528983351	14.19779628
0.549776559	0.538552235	0.007222578	0.545774813	0.531329656	14.23509488
0.548830275	0.538336064	0.007306571	0.545642634	0.531029493	14.2723492
0.5485677	0.537672087	0.007495437	0.545167523	0.53017665	14.30961713
