avg	smoch	horni	spodni	time
77.22372276	6.836087788	84.05981054	70.38763497	9.1526755
77.35533324	6.94227353	84.29760677	70.41305971	9.190092017
77.43275349	6.837683448	84.27043694	70.59507004	9.2274371
77.59791511	6.802490642	84.40040575	70.79542446	9.264758133
77.73469009	6.812758968	84.54744905	70.92193112	9.302036367
77.93340126	6.786259345	84.71966061	71.14714192	9.339337283
78.01856275	6.653751484	84.67231423	71.36481126	9.376655083
78.19662853	6.75538775	84.95201628	71.44124078	9.41389385
78.32050249	6.700179161	85.02068165	71.62032333	9.4511711
78.49856827	6.738347099	85.23691537	71.76022117	9.488529633
78.61211639	6.758005421	85.37012181	71.85411097	9.525798733
78.73856867	6.593663767	85.33223244	72.14490491	9.563184183
78.91405299	6.648065143	85.56211813	72.26598785	9.600434867
78.99663459	6.623527973	85.62016256	72.37310661	9.6376496
79.04566819	6.622948315	85.66861651	72.42271988	9.674894383
79.29082995	6.605608908	85.89643886	72.68522104	9.712212117
79.37599143	6.552221241	85.92821267	72.82377019	9.749551267
79.57212272	6.596192204	86.16831492	72.97593052	9.786821733
79.59792947	6.561148145	86.15907761	73.03678132	9.8241162
79.75792974	6.474134557	86.23206429	73.28379518	9.861467567
79.90244753	6.515842658	86.41829019	73.38660487	9.89881595
80.04438386	6.488920427	86.53330429	73.55546343	9.936165583
80.12180253	6.538752923	86.66055545	73.58304961	9.973507033
80.20438413	6.419104646	86.62348877	73.78527948	10.01076843
80.35664316	6.471363293	86.82800645	73.88527986	10.04802658
80.48051398	6.320900057	86.80141403	74.15961392	10.08541043
80.58632243	6.395874976	86.98219741	74.19044746	10.12265723
80.79535631	6.378074519	87.17343083	74.41728179	10.15997513
80.8082589	6.346368801	87.1546277	74.4618901	10.1972958
80.96567928	6.256240682	87.22191996	74.7094386	10.23464647
81.04826245	6.310273637	87.35853608	74.73798881	10.27193953
81.2521334	6.241987374	87.49412077	75.01014603	10.3092082
81.26761588	6.204121973	87.47173785	75.0634939	10.34650782
81.46116728	6.201417633	87.66258491	75.25974964	10.38379402
81.52310347	6.245614371	87.76871784	75.2774891	10.42113587
81.6263289	6.210346409	87.8366753	75.41598249	10.45845852
81.78374927	6.163557	87.94730628	75.62019227	10.49584043
81.84052255	6.257871052	88.0983936	75.5826515	10.53309537
81.98504034	6.117969831	88.10301017	75.86707051	10.57039703
82.0598807	6.149061069	88.20894177	75.91081963	10.60768632
82.18891287	6.063536958	88.25244983	76.12537591	10.64495988
82.31278526	6.122932293	88.43571755	76.18985297	10.68244688
82.48568969	6.047633004	88.53332269	76.43805669	10.71979332
82.50117374	6.053770306	88.55494405	76.44740343	10.75712408
82.68956222	5.988510217	88.67807243	76.701052	10.79442322
82.71794885	6.012929895	88.73087875	76.70501896	10.83166238
82.85472384	6.017831828	88.87255566	76.83689201	10.86906548
82.99924005	5.971079742	88.9703198	77.02816031	10.90639077
83.05085355	6.037779929	89.08863348	77.01307362	10.94376937
83.23408225	6.009566177	89.24364843	77.22451608	10.98114793
83.27537148	5.958055562	89.23342704	77.31731592	11.01846407
83.36311442	5.862440637	89.22555506	77.50067379	11.05575655
83.51279356	5.959255553	89.47204912	77.55353801	11.09305928
83.57730965	5.954570049	89.5318797	77.6227396	11.13060983
83.69601912	5.828946424	89.52496554	77.8670727	11.1681184
83.75021251	5.894123488	89.64433599	77.85608902	11.20556003
83.93344121	5.798716625	89.73215783	78.13472458	11.24308427
83.94634537	5.834980776	89.78132614	78.11136459	11.28065627
84.18376588	5.820620363	90.00438624	78.36314552	11.31812997
84.16828026	5.806273576	89.97455384	78.36200668	11.3556686
84.20182825	5.71921625	89.9210445	78.482612	11.39318288
84.38763526	5.772182374	90.15981764	78.61545289	11.43061685
84.41602505	5.81873736	90.23476241	78.59728769	11.4680206
84.61731611	5.722244325	90.33956044	78.89507179	11.50557212
84.63538162	5.71706617	90.35244779	78.91831545	11.54305247
84.7024776	5.646882982	90.34936058	79.05559461	11.58052872
84.87022067	5.712020529	90.5822412	79.15820015	11.61795182
84.88828618	5.677399395	90.56568558	79.21088679	11.65548248
85.0328024	5.610761083	90.64356349	79.42204132	11.69294432
85.07667466	5.587144283	90.66381895	79.48953038	11.7305351
85.23409504	5.714737928	90.94883297	79.51935711	11.76800963
85.32441788	5.575379981	90.89979786	79.74903789	11.8055381
85.38893396	5.584926411	90.97386037	79.80400755	11.84296272
85.50248523	5.562581736	91.06506696	79.93990349	11.88049015
85.51796613	5.503909089	91.02187522	80.01405704	11.91798228
85.6676437	5.503063119	91.17070682	80.16458058	11.95557462
85.76829081	5.516724277	91.28501508	80.25156653	11.99296197
85.84313116	5.468065706	91.31119687	80.37506546	12.03129695
85.85087397	5.436213782	91.28708776	80.41466019	12.0688429
86.06764752	5.523856364	91.59150388	80.54379115	12.10646952
86.152809	5.469466534	91.62227553	80.68334247	12.14399442
86.18893687	5.410992775	91.59992965	80.7779441	12.18149702
86.21990655	5.41286778	91.63277433	80.80703877	12.21895043
86.40829502	5.367867016	91.77616204	81.04042801	12.2565357
86.43410177	5.44183637	91.87593814	80.9922654	12.29404053
86.55539113	5.36334764	91.91873877	81.19204349	12.3314471
86.648297	5.389964369	92.03826137	81.25833263	12.36874995
86.69475072	5.349068214	92.04381893	81.34568251	12.40606315
86.78765187	5.267302485	92.05495435	81.52034938	12.44337687
86.87539639	5.37102883	92.24642522	81.50436756	12.48065892
86.96313776	5.30578497	92.26892273	81.65735279	12.51785388
87.00701002	5.231095355	92.23810537	81.77591466	12.55514628
87.13087927	5.255145975	92.38602524	81.87573329	12.59247275
87.22378356	5.209055814	92.43283937	82.01472775	12.629808
87.34507449	5.275153433	92.62022793	82.06992106	12.66709558
87.36572146	5.236953854	92.60267532	82.12876761	12.70437728
87.50249487	5.249217061	92.75171193	82.25327781	12.74165622
87.51539903	5.215296004	92.73069504	82.30010303	12.77899647
87.64959255	5.172746472	92.82233902	82.47684608	12.8162941
87.71410864	5.184128511	92.89823715	82.52998013	12.85363022
87.78636596	5.215187532	93.00155349	82.57117843	12.89094685
87.91798116	5.125368819	93.04334998	82.79261235	12.92825205
87.90507858	5.141023152	93.04610173	82.76405542	12.96555552
88.05475615	5.160692873	93.21544902	82.89406327	13.00284362
88.16830741	5.151711413	93.32001883	83.016596	13.04019522
88.22249922	5.075899133	93.29839836	83.14660009	13.07753248
88.26120856	5.001978336	93.2631869	83.25923022	13.11488965
88.37733972	5.07286739	93.45020711	83.30447233	13.15220613
88.4418558	5.097525597	93.5393814	83.3443302	13.18952473
88.54766426	5.046096251	93.59376051	83.50156801	13.22688077
88.55798696	5.041194769	93.59918173	83.51679219	13.26413583
88.64830979	5.068336656	93.71664645	83.57997313	13.30140187
88.70508306	4.98314026	93.68822332	83.7219428	13.33874508
88.79540904	4.982539085	93.77794813	83.81286996	13.37598205
88.93992369	4.968686713	93.9086104	83.97123698	13.41326675
89.00959955	4.970531801	93.98013135	84.03906775	13.45059357
89.03798776	4.901568243	93.939556	84.13641952	13.48787113
89.13089206	4.877426862	94.00831892	84.25346519	13.52524027
89.17476274	4.82365975	93.99842249	84.35110299	13.56260403
89.25734434	4.928714073	94.18605841	84.32863026	13.59990682
89.36315279	4.877427769	94.24058056	84.48572502	13.6372177
89.38895954	4.849869782	94.23882932	84.53908976	13.67474215
89.44573439	4.841043582	94.28677797	84.60469081	13.71206387
89.51541182	4.85083673	94.36624855	84.66457509	13.74934408
89.67283378	4.829943224	94.502777	84.84289055	13.78758083
89.62121871	4.825613281	94.44683199	84.79560542	13.82487548
89.81992674	4.726539314	94.54646605	85.09338742	13.86215968
89.8534763	4.776809511	94.63028581	85.07666679	13.8994903
89.85347787	4.780049064	94.63352693	85.07342881	13.936756
89.9489652	4.64398278	94.59294798	85.30498242	13.97407693
90.07799737	4.783466351	94.86146372	85.29453102	14.01130623
90.08573861	4.655278865	94.74101747	85.43045974	14.04864182
90.26122135	4.713935201	94.97515655	85.54728615	14.08594305
90.2663827	4.689256807	94.95563951	85.57712589	14.12326165
90.32315755	4.646912241	94.97006979	85.67624531	14.16054247
90.39283813	4.616351308	95.00918944	85.77648682	14.19779628
90.55799817	4.723943113	95.28194129	85.83405506	14.23509488
90.53219142	4.607135509	95.13932693	85.92505592	14.2723492
90.60703178	4.571971616	95.1790034	86.03506017	14.30961713
90.60961167	4.590814427	95.2004261	86.01879724	14.34690447
90.7721934	4.507822089	95.28001549	86.26437131	14.38420827
90.75671092	4.496388752	95.25309968	86.26032217	14.421447
90.94251637	4.546253428	95.4887698	86.39626294	14.45872103
91.00187268	4.514119434	95.51599211	86.48775324	14.4960466
91.02509796	4.501840687	95.52693865	86.52325728	14.53333665
91.09219708	4.433922709	95.52611979	86.65827437	14.57061683
91.14380743	4.433080237	95.57688767	86.7107272	14.60795372
91.17219407	4.437782771	95.60997684	86.7344113	14.6452176
91.29090669	4.341078678	95.63198536	86.94982801	14.68251423
91.38639087	4.426955791	95.81334666	86.95943508	14.71976833
91.40961616	4.359309863	95.76892602	87.05030629	14.7571188
91.45864977	4.343049924	95.80169969	87.11559984	14.79442723
91.52574574	4.32358303	95.84932877	87.20216271	14.83174518
91.5799407	4.335099923	95.91504062	87.24484078	14.86902837
91.7580049	4.293658516	96.05166342	87.46434639	14.90639505
91.7734921	4.318570185	96.09206228	87.45492191	14.94374648
91.8251056	4.238571432	96.06367703	87.58653416	14.98099633
91.87929898	4.234830709	96.11412969	87.64446827	15.01824452
91.94639495	4.233965028	96.18035998	87.71242993	15.0556352
91.98768418	4.179504335	96.16718851	87.80817984	15.09292902
92.02381363	4.187999016	96.21181264	87.83581461	15.13033483
92.10381376	4.206617094	96.31043086	87.89719667	15.16764955
92.21736345	4.238610246	96.4559737	87.97875321	15.2049336
92.28962235	4.200007771	96.48963012	88.08961458	15.2422601
92.32317191	4.164619011	96.48779092	88.1585529	15.27950173
92.35414001	4.103060591	96.4572006	88.25107942	15.31683212
92.3567199	4.074240531	96.43096043	88.28247937	15.35412807
92.50123769	4.106097565	96.60733525	88.39514012	15.39140743
92.56059085	4.014041152	96.574632	88.5465497	15.4287404
92.57349659	4.064181051	96.63767764	88.50931553	15.46595072
92.58381771	4.076693825	96.66051154	88.50712389	15.50323145
92.61220592	3.88038886	96.49259478	88.73181706	15.54141727
92.77736754	4.017858096	96.79522563	88.75950944	15.5787697
92.82898104	3.957853656	96.78683469	88.87112738	15.61605457
92.90639971	3.894328078	96.80072779	89.01207163	15.6532824
92.88317442	3.891943843	96.77511826	88.99123058	15.69064447
93.04833919	3.882441757	96.93078094	89.16589743	15.7279812
93.15930585	3.90760694	97.06691279	89.2516989	15.76521587
93.17220843	3.900673808	97.07288224	89.27153462	15.80246392
93.20059664	3.805766808	97.00636345	89.39482984	15.8397358
93.18253271	3.836825302	97.01935801	89.3457074	15.87709423
93.24446733	3.800626199	97.04509353	89.44384113	15.91433423
93.37350265	3.760062881	97.13356553	89.61343976	15.95163842
93.36059848	3.780430927	97.14102941	89.58016756	15.98904537
93.36317837	3.765046589	97.12822496	89.59813178	16.02634572
93.4586657	3.671768761	97.13043446	89.78689694	16.06371585
93.49479358	3.644663168	97.13945674	89.85013041	16.10099555
93.62640564	3.778589382	97.40499502	89.84781625	16.13836132
93.70124442	3.68086493	97.38210935	90.02037949	16.1757471
93.69608464	3.627123615	97.32320826	90.06896103	16.21308595
93.71156712	3.607537161	97.31910428	90.10402996	16.25031212
93.77866624	3.578239933	97.35690617	90.20042631	16.28759895
93.85350345	3.543987838	97.39749129	90.30951561	16.3248332
93.90769683	3.60048709	97.50818392	90.30720975	16.36212583
93.95415056	3.499660783	97.45381134	90.45448977	16.39947403
93.95931191	3.505319535	97.46463144	90.45399237	16.4367115
93.97479438	3.504748358	97.47954274	90.47004602	16.4740805
94.01350529	3.402165892	97.41567118	90.6113394	16.51141707
94.10640959	3.417873227	97.52428281	90.68853636	16.54869757
94.10640959	3.425941247	97.53235083	90.68046834	16.58602013
94.16318286	3.334287278	97.49747014	90.82889558	16.6233713
94.28963671	3.389357358	97.67899407	90.90027936	16.66068112
94.2818939	3.413725552	97.69561946	90.86816835	16.69793908
94.40060337	3.345609218	97.74621259	91.05499415	16.73522788
94.42382866	3.357613254	97.78144191	91.06621541	16.77252575
94.42641169	3.277777627	97.70418932	91.14863407	16.80981488
94.51415307	3.238073492	97.75222656	91.27607958	16.84708502
94.52447577	3.272524728	97.79700049	91.25195104	16.88439947
94.53995824	3.247602608	97.78756085	91.29235563	16.92168053
94.67415491	3.163359031	97.83751394	91.51079588	16.95904983
94.6664121	3.139707028	97.80611912	91.52670507	16.99636562
94.71544571	3.173830351	97.88927606	91.54161535	17.03364378
94.75673493	3.038749448	97.79548438	91.71798548	17.07094697
94.82125102	3.040775659	97.86202667	91.78047536	17.10827637
94.84189641	3.086755455	97.92865187	91.75514096	17.14563758
94.97093173	3.138799906	98.10973164	91.83213182	17.18292787
94.96060746	3.059542456	98.02014991	91.901065	17.22024733
94.99673533	3.078307933	98.07504327	91.9184274	17.25759183
